date,open,high,low,close,volume,market_return,vix,bond_yield_10y,dollar_index_change,sp500,nasdaq,sp500_above_ma200,nasdaq_12m_return,vnm_etf_above_ma200,usdvnd_change,vix_lag1,bond_yield_lag1,vnindex_return_lag1,day_of_week_sin,day_of_week_cos,month_sin,month_cos,is_quarter_end,days_before_tet,close_smoothed,sentiment_score,news_volume,dividend_flag,days_to_dividend,days_after_dividend,target_return_1d,target_spread_1d,target_return_2d,target_spread_2d,target_return_3d,target_spread_3d
2021-10-08,138.4328463076523,139.1806633910254,138.07629612988345,138.6396484375,26526000,0.0,16.540000915527344,4.486999988555908,0.0,6025.990234375,19523.400390625,0.0,0.0,1.0,0.0,16.540000915527344,4.486999988555908,0.0,-0.9510565162951536,0.30901699437494723,-0.8660254037844386,0.5000000000000001,0,30.0,134.70669209013167,0.0,0.0,0.0,60.0,60.0,-0.0062345034409405,0.01325611137338944,-0.023868773200814274,0.026805419059805484,-0.015763346411489996,0.010594825191990514
2021-10-11,138.15020647249565,139.55856466782143,137.72074204736637,137.77529907226562,17954000,0.0,16.540000915527344,4.486999988555908,0.0,6025.990234375,19523.400390625,0.0,0.0,1.0,0.0,16.540000915527344,4.486999988555908,0.0,0.0,1.0,-0.8660254037844386,0.5000000000000001,0,30.0,134.80220778869122,0.0,0.0,0.0,60.0,60.0,-0.01774490040249226,0.026973585974377243,-0.009588623275353567,0.010661293060259577,0.01610345586041442,0.018086707244616293
2021-10-12,138.336634738434,138.36342140161824,134.64712752694695,135.3304901123047,36332000,0.0,16.540000915527344,4.486999988555908,0.0,6025.990234375,19523.400390625,0.0,0.0,1.0,0.0,16.540000915527344,4.486999988555908,0.0,0.9510565162951535,0.30901699437494745,-0.8660254037844386,0.5000000000000001,0,30.0,134.81865148952042,0.0,0.0,0.0,60.0,60.0,0.008303624109949477,0.010853894334199116,0.03445984274021738,0.01841345211852559,0.03605009753615366,0.007057563343502568
2021-10-13,136.27619065855683,136.86879650740957,135.39993366753524,136.4542236328125,19654000,0.0,16.540000915527344,4.486999988555908,0.0,6025.990234375,19523.400390625,0.0,0.0,1.0,0.0,16.540000915527344,4.486999988555908,0.0,0.5877852522924732,-0.8090169943749473,-0.8660254037844386,0.5000000000000001,0,30.0,134.8695615007146,0.0,0.0,0.0,60.0,60.0,0.02594081584637419,0.018261812888731334,0.027517974509609217,0.00699944260314687,0.037766374762598705,0.012548888258170523
2021-10-14,138.33070229242213,140.17892171906655,137.68702021920703,139.99395751953125,31894000,0.0,16.540000915527344,4.486999988555908,0.0,6025.990234375,19523.400390625,0.0,0.0,1.0,0.0,16.540000915527344,4.486999988555908,0.0,-0.587785252292473,-0.8090169943749475,-0.8660254037844386,0.5000000000000001,0,30.0,135.0290671879149,0.0,0.0,0.0,60.0,60.0,0.0015372803566002125,0.006822462363360126,0.011526550784967787,0.01223159081337262,0.014778448079293321,0.007527399378370982
2021-10-15,140.4536525487432,140.55630449662968,139.60120099035484,140.20916748046875,30274000,0.0,16.540000915527344,4.486999988555908,0.0,6025.990234375,19523.400390625,0.0,0.0,1.0,0.0,16.540000915527344,4.486999988555908,0.0,-0.9510565162951536,0.30901699437494723,-0.8660254037844386,0.5000000000000001,0,30.0,135.1903067669592,0.0,0.0,0.0,60.0,60.0,0.009973937689878969,0.012212816290790022,0.013220843579560567,0.007515845416848417,0.0028367303140754323,0.015346544345009353
2021-10-18,139.92006032333015,141.62546275603327,139.9131139513097,141.60760498046875,20396000,0.0,16.540000915527344,4.486999988555908,0.0,6025.990234375,19523.400390625,0.0,0.0,1.0,0.0,16.540000915527344,4.486999988555908,0.0,0.0,1.0,-0.8660254037844386,0.5000000000000001,0,30.0,135.39005627065805,0.0,0.0,0.0,60.0,60.0,0.0032148412632391978,0.007441623131424032,-0.0070667243078851374,0.015194990456993,-0.006247254966275146,0.011598468842169555
2021-10-19,142.21211472454235,142.4848695628123,141.43107913400408,142.06285095214844,20164000,0.0,16.540000915527344,4.486999988555908,0.0,6025.990234375,19523.400390625,0.0,0.0,1.0,0.0,16.540000915527344,4.486999988555908,0.0,0.9510565162951535,0.30901699437494745,-0.8660254037844386,0.5000000000000001,0,30.0,135.59775854372774,0.0,0.0,0.0,60.0,60.0,-0.010248617891435776,0.015146297514757259,-0.00943177457143652,0.011561301094354692,-0.03958816918720921,0.031604914790340166
2021-10-20,142.1630420742844,142.36934482672316,140.2176186204073,140.60690307617188,23288000,0.0,16.540000915527344,4.486999988555908,0.0,6025.990234375,19523.400390625,0.0,0.0,1.0,0.0,16.540000915527344,4.486999988555908,0.0,0.5877852522924732,-0.8090169943749473,-0.8660254037844386,0.5000000000000001,0,30.0,135.7536768291216,0.0,0.0,0.0,60.0,60.0,0.0008253015199221601,0.011681015357336021,-0.029643354711229114,0.031932175455020965,-0.030486345139467817,0.01817042909129112
2021-10-21,140.60690087056568,140.99073718424137,139.34830579006115,140.7229461669922,26292000,0.0,16.540000915527344,4.486999988555908,0.0,6025.990234375,19523.400390625,0.0,0.0,1.0,0.0,16.540000915527344,4.486999988555908,0.0,-0.587785252292473,-0.8090169943749475,-0.8660254037844386,0.5000000000000001,0,30.0,135.90835393013208,0.0,0.0,0.0,60.0,60.0,-0.030443531138630766,0.031905843513874564,-0.031285826419294116,0.018155445374628577,-0.01816605816760223,0.012534626474965456
2021-10-22,138.00935869132704,139.43061082473707,134.94072652552163,136.4388427734375,50588000,0.0,16.540000915527344,4.486999988555908,0.0,6025.990234375,19523.400390625,0.0,0.0,1.0,0.0,16.540000915527344,4.486999988555908,0.0,-0.9510565162951536,0.30901699437494723,-0.8660254037844386,0.5000000000000001,0,30.0,135.9248663127022,0.0,0.0,0.0,60.0,60.0,-0.0008687428816317694,0.01872551621046892,0.01266297875919181,0.012928206739403132,0.06288589048829434,0.06720382272797495
2021-10-25,136.42246503075222,136.86877322103567,134.31388545894404,136.3203125,34412000,0.0,16.540000915527344,4.486999988555908,0.0,6025.990234375,19523.400390625,0.0,0.0,1.0,0.0,16.540000915527344,4.486999988555908,0.0,0.0,1.0,-0.8660254037844386,0.5000000000000001,0,30.0,135.93717525908806,0.0,0.0,0.0,60.0,60.0,0.013543487449137486,0.012939447792565168,0.06381006791220127,0.06726225633436793,0.06112892841280303,0.018414411846141798
2021-10-26,138.12193563067672,138.93470665883544,137.17079709217552,138.16656494140625,49236000,0.0,16.540000915527344,4.486999988555908,0.0,6025.990234375,19523.400390625,0.0,0.0,1.0,0.0,16.540000915527344,4.486999988555908,0.0,0.9510565162951535,0.30901699437494745,-0.8660254037844386,0.5000000000000001,0,30.0,136.00656886801477,0.0,0.0,0.0,60.0,60.0,0.049594892656824756,0.0663634635980465,0.04694957991731313,0.018168349038961078,0.06272040591574668,0.025788076851951044
2021-10-27,138.26226450047915,147.4314763034353,138.26226450047915,145.0189208984375,85782000,0.0,16.540000915527344,4.486999988555908,0.0,6025.990234375,19523.400390625,0.0,0.0,1.0,0.0,16.540000915527344,4.486999988555908,0.0,0.5877852522924732,-0.8090169943749473,-0.8660254037844386,0.5000000000000001,0,30.0,136.2870939091366,0.0,0.0,0.0,60.0,60.0,-0.002520317846455583,0.017309867993899813,0.012505313574552082,0.0245695525315239,-0.01860603369542801,0.032968079290055026
2021-10-28,145.92839660361173,145.95170251359744,143.4414441362277,144.65342712402344,36206000,0.0,16.540000915527344,4.486999988555908,0.0,6025.990234375,19523.400390625,0.0,0.0,1.0,0.0,16.540000915527344,4.486999988555908,0.0,-0.587785252292473,-0.8090169943749475,-0.8660254037844386,0.5000000000000001,0,30.0,136.54751049752798,0.0,0.0,0.0,60.0,60.0,0.015063596472027922,0.024631632073425884,-0.01612635940036753,0.033051379271081906,-0.002855694093896766,0.015588030150965819
