date,close,high,low,open,volume,rsi_14,MACD_12_26_9,volatility_20,close_lag1,volume_change,intraday_return,target_return
2023-12-27,58190.7734375,58794.233310185184,58190.7734375,58621.816203703704,1736400,45.759770073920464,-413.58266731633194,0.009868375635078459,58190.7734375,-0.12098815429786369,-0.007352941176470587,6.859830330722625e-09
2023-12-28,59052.859375,59052.859375,58190.77383667883,58190.77383667883,2873700,53.052723328749074,-315.88569786184235,0.010424744475057625,58190.7734375,0.654975812024879,0.014814814814814807,0.0029196749565867765
2023-12-29,58276.98046875,59225.27452963203,58276.98046875,59225.27452963203,2257800,46.93603471824904,-297.6361251654598,0.010316429046141638,59052.859375,-0.21432299822528444,-0.016011644832605556,0.008875758159879099
2024-01-02,58880.44140625,59052.858511392755,58535.6071959645,58794.23285367862,2142800,51.60920246978615,-231.80682817922207,0.010035017113718452,58276.98046875,-0.050934538045885325,0.0014662756598240654,0.0014641468493234975
2024-01-03,59483.90234375,59483.90234375,58621.81680253623,58966.65101902174,1979801,55.801074939308236,-129.45016084608505,0.010208812136282523,58880.44140625,-0.07606822848609296,0.008771929824561427,0.0014492753623188037
2024-01-04,59483.90234375,59914.94511435689,59483.90234375,59570.110897871375,3401500,55.801074939308236,-47.78097520506708,0.009894201542863988,59483.90234375,0.7181019708546466,-0.0014471780028943193,0.00434787766187658
2024-01-05,59311.48828125,59742.53107399164,59052.86260560501,59742.53107399164,1775700,54.24406843929903,2.9955381912222947,0.009864557318698283,59483.90234375,-0.4779656034102602,-0.00721500721500715,0.0029068665294276156
2024-01-08,58794.23046875,59570.10741041972,58794.23046875,59483.898861345304,2396400,49.75834168095786,1.4808381377079058,0.01007700803354635,59311.48828125,0.34955228923804693,-0.011594202898550657,9.239068579382733e-08
2024-01-09,58708.02734375,59052.86157190712,58621.81878671072,58794.235900789274,2579400,49.03064762977144,-6.59937088584411,0.009880555811646475,58794.23046875,0.0763645468202303,-0.0014662756598239324,-4.406221222251975e-08
2024-01-10,58190.7734375,58708.02475694444,58104.564884259256,58708.02475694444,3006600,44.797154959151946,-54.11723234719102,0.009414665628538668,58708.02734375,0.16561991160735046,-0.008810572687224594,2.946133320833651e-08
2024-01-11,58535.609375,59052.86070968336,58190.775151877766,58190.775151877766,2083900,48.01945121765945,-63.22132557363511,0.009392026835465405,58190.7734375,-0.30689150535488596,0.0059259259259258484,-0.004418347273959768
2024-01-12,57932.14453125,58535.60437011719,57759.7274344308,58276.978724888395,3283000,43.26041682469824,-117.77333685562189,0.00885668034349665,58535.609375,0.5754114880752434,-0.005917159763313645,5.25334749318185e-08
